nomopera;ndias;v_codigbus;v_edad;ndias_ant;ndias_ant_area;ndias_ant_tipo;capacidad;marca;modelo;potencia;tipo;subtipo
Flexible escape;1;B117;6;1866;1866;1866;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Cambio filtro retarde;2;U198;24;8471;8471;8471;73;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fuga refrigerante;2;U198;24;8471;8471;8471;73;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fuga refrigerante;2;B117;6;3;3;1869;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Alternador;2;X110;2;703;703;703;16;FORD;TRANSIT;92;Discrecional;Microbus
Fuga refrigerante;2;T227;4;1359;1359;1359;38;MERCEDES BENZ;TOURING;310;Discrecional;Normal
Correas;2;T227;4;1359;1359;1359;38;MERCEDES BENZ;TOURING;310;Discrecional;Normal
Frenos 1º eje;2;T227;4;3;3;1362;38;MERCEDES BENZ;TOURING;310;Discrecional;Normal
Calefaccion;2;B129;1;281;281;281;55;MAN;DIVO II;338;Discrecional;Normal
Regular ralenti;2;U205;22;9;9;7819;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Compresor a.a;11;T222;5;1697;1697;1697;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Cambio filtro retarde;2;B117;6;5;5;1881;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Fuga de aire;3;B116;4;1392;1392;1392;54;MAN;TOURING;301;Discrecional;Normal
Fuelles1º eje;3;B116;4;1392;1392;1392;54;MAN;TOURING;301;Discrecional;Normal
Timoneria cambio;3;B116;4;1392;1392;1392;54;MAN;TOURING;301;Discrecional;Normal
Fallo en retarde/intarde;3;B116;4;1392;1392;1392;54;MAN;TOURING;301;Discrecional;Normal
Porton/es maletero;3;B116;4;1392;1392;1392;54;MAN;TOURING;301;Discrecional;Normal
Inyectores;15;U208;24;22;22;8549;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Valvula proporcional;15;U208;24;22;22;8549;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Kit embrague;21;S072;3;1098;1098;1098;56;MAN;18.460 HOCL;;NORMAL;54 PAX
Motor;21;S072;3;1098;1098;1098;56;MAN;18.460 HOCL;;NORMAL;54 PAX
Alternador;21;S072;3;1098;1098;1098;56;MAN;18.460 HOCL;;NORMAL;54 PAX
Alternador auxiliar;21;S072;3;1098;1098;1098;56;MAN;18.460 HOCL;;NORMAL;54 PAX
Arranque;21;S072;3;1098;1098;1098;56;MAN;18.460 HOCL;;NORMAL;54 PAX
Baterias;3;H086;1;18;18;375;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Frenos 2º eje;3;B119;4;1133;1133;1133;54;SCANIA;Pb;309;Discrecional;Normal
Limpiaparabrisas;2;H076;6;1952;1952;1952;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Fuelle 2º eje derecho trasero;5;U238;25;12;12;8917;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Correas;5;U238;25;12;12;8917;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Grupo;11;B130;1;102;102;102;55;SCANIA;CENTURY;280;Discrecional;Normal
Cambio filtro desahogo;2;X110;2;26;26;729;16;FORD;TRANSIT;92;Discrecional;Microbus
Frenos 1º eje;2;B129;1;21;21;302;55;MAN;DIVO II;338;Discrecional;Normal
Frenos 2º eje;2;B129;1;21;21;302;55;MAN;DIVO II;338;Discrecional;Normal
Frenos 1º eje;2;H076;6;8;8;1960;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Discos delanteros;2;H076;6;8;8;1960;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Transmision;2;H076;6;8;8;1960;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Fallo en ABS/EBS;2;H086;1;11;11;386;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Manguito/s calefaccion;2;U198;24;33;33;8504;73;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fuga aceite motor;2;U205;22;16;16;7854;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Baterias;3;B116;4;32;32;1424;54;MAN;TOURING;301;Discrecional;Normal
Cambio aceite retarde y filtro;3;T229;4;1305;1305;1305;16;FORD;SIN ASIGNAR;;MICROBUS;Micro 16  Plazas
Correas;3;T229;4;1305;1305;1305;16;FORD;SIN ASIGNAR;;MICROBUS;Micro 16  Plazas
Correas;3;H082;3;1119;1119;1119;54;MAN;TOURING STAR;338;Discrecional;Normal
Correas;2;T241;2;540;540;540;60;SCANIA;K124IB4X2;;NORMAL;59 Plazas
Radiador/es calefaccion;3;H086;1;19;19;405;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Correas;44;H085;2;502;502;502;54;SCANIA;Pb;309;Discrecional;Normal
Correas;16;H081;3;1138;1138;1138;54;MAN;Pb;338;Discrecional;Normal
Cambio filtro retarde;2;U238;25;23;23;8940;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Caja cambios;2;B130;1;16;16;118;55;SCANIA;CENTURY;280;Discrecional;Normal
Latiguillo compresor;2;U208;24;9;9;8572;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Frenos 1º eje;4;B116;4;7;7;1431;54;MAN;TOURING;301;Discrecional;Normal
Bomba agua;5;U208;24;8;8;8580;71;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Fallo en EDC;5;B130;1;10;10;128;55;SCANIA;CENTURY;280;Discrecional;Normal
Grupo;4;B129;1;2;2;333;55;MAN;DIVO II;338;Discrecional;Normal
Correas;3;T222;5;42;42;1739;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Frenos 1º eje;2;X110;2;35;35;764;16;FORD;TRANSIT;92;Discrecional;Microbus
Discos delanteros;2;X110;2;35;35;764;16;FORD;TRANSIT;92;Discrecional;Microbus
Frenos 1º eje;2;H082;3;1;1;1135;54;MAN;TOURING STAR;338;Discrecional;Normal
Carga de gas;4;H076;6;19;19;2005;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Cambiar/limpiar filtros;4;H076;6;19;19;2005;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Cambio filtro retarde;2;H076;6;1;1;2006;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Cambio aceite retarde;2;U205;22;6;6;7887;81;MAN;SIN ASIGNAR;;BUS TURISTICO;Turistic Valencia
Limpiaparabrisas;2;T251;0;48;48;48;58;IVECO;EURORI.C-35 A;;NORMAL;57 Plazas
Frenos 1º eje;2;T229;4;37;37;1342;16;FORD;SIN ASIGNAR;;MICROBUS;Micro 16  Plazas
Fuga liquido embrague/frenos;6;B132;0;64;64;64;41;IVECO;DIVO II INTERCITY;259;Discrecional;Normal
Paragolpes delantero;6;B129;1;33;33;364;55;MAN;DIVO II;338;Discrecional;Normal
Correas;9;H076;6;17;17;2023;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Tacos motor;9;H076;6;17;17;2023;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Compresor a.a;9;H076;6;17;17;2023;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Carga de gas;9;H076;6;17;17;18;74;MAN;TOURING INTERCITY;228;Interurbano;Normal
Valvulas aire;2;B119;4;61;61;1205;54;SCANIA;Pb;309;Discrecional;Normal
Fuga refrigerante;7;X110;2;15;15;799;16;FORD;TRANSIT;92;Discrecional;Microbus
Bomba agua;3;H086;1;20;20;455;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Correas;3;H086;1;20;20;455;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Paragolpes trasero;3;H086;1;20;20;455;100;SCANIA;CS40 CITY II;191;Urbano;Normal
Poleas motor;3;I707;1;143;143;143;55;SCANIA;CENTURY;280;Discrecional;Normal
Correas;3;I707;1;143;143;143;55;SCANIA;CENTURY;280;Discrecional;Normal
Cambio filtro adblue;2;T229;4;15;15;1357;16;FORD;SIN ASIGNAR;;MICROBUS;Micro 16  Plazas
Frenos 1º eje;2;T222;5;28;28;1782;55;MAN;18.410 HOCL;;NORMAL;54 Plazas + guia
Frenos 2º eje;2;B127;2;43;43;580;32;VOLVO;HABIT;250;Urbano;Normal
Frenos 1º eje;2;H085;2;58;58;560;54;SCANIA;Pb;309;Discrecional;Normal
Alternador;2;T173;12;59;59;4322;52;SCANIA;SIN ASIGNAR;;NORMAL;50 Plazas
