id_vehiculo;codigbus;matricul;fechamat;matriculacion_planner;edad;numempre;nomempre;bastidor;capacidad;paxdepie;paxsentados;paxpmr;plat_pmr;WC;autoport;marca;modelo;carrocero;categoria;clase;longitud;numcv;tara;cilindrada;potencia;nvl_emisiones;escolar;tipo;subtipo;uso;tall_kilom;tal_feckm;totkilom;activo;dns_vehiculo;dispositivo;combustible
1;1000;1652KTX;2019-02-26;2019-02-26;3;3;Viajes Transvia;YV1XZ72VDK2120951;;;;;;;;VOLVO;XC 40;;;;;;;;;;;TURISMO;;;;;25233;1;transvia;;
2;1001;4975KVS;2019-03-27;2019-03-27;3;3;Viajes Transvia;YV1MZ70V1K2184208;;;;;;;;VOLVO;V 40 CROSS COUNTRY;;;;;;;;;;;TURISMO;;DISCRECIONAL;;;0;1;transvia;;
3;1002;8387LBJ;2019-09-26;2019-09-26;3;3;Viajes Transvia;YV1MZ70V1K2187434;;;;;;;;VOLVO;V 40 CROSS COUNTRY;;;;;;;;;;;TURISMO;;DISCRECIONAL;;;30314;1;transvia;;
4;1003;5943LCM;2019-11-18;2019-11-18;3;3;Viajes Transvia;YV1ZZA8TCL1037937;;;;;;;;VOLVO;V 60 CROSS COUNTRY;;;;;;;;;;;TURISMO;;DISCRECIONAL;;;0;1;transvia;;
5;127B;7390JMH;2016-03-07;2016-03-07;6;19;Empleadas de Hogar;VNE7257R200001462;;;;;;;;;;;;;;;;;;;;NORMAL;61 Plazas;USO GENERAL;;;0;1;transvia;;
6;127C;7122JXT;2017-03-27;2017-03-27;5;19;Empleadas de Hogar;VNE7257R800001935;;;;;;;;IVECO;5522;;;;;;;;;;;NORMAL;57 Plazas;USO GENERAL;;;0;1;transvia;;
7;150B;1746JHV;2015-09-02;2015-09-02;7;19;Empleadas de Hogar;YS2K4X20001894846;;;;;;;;;;IRIZAR;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
8;150C;9816GFF;2008-06-05;2008-06-05;14;19;Empleadas de Hogar;YS2K4X20001860596;;;0;;;;;;;IRIZAR;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
9;154B;2055HVK;2014-01-23;2014-01-23;8;19;Empleadas de Hogar;WMARR4ZZ9EC018723;65;;65;;;;;;;BEULAS;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
10;2775;9440JMJ;2016-03-09;2016-03-09;6;19;Empleadas de Hogar;WMARR4ZZ5FC020891;;;;;;;;;;;;;;;;;;;;NORMAL;;USO GENERAL;;;0;1;transvia;;
